,,,Overall,,,,,,,PP,,SH,,Defense,
Player Name,Team,Pos,G,A,Pts,+/-,PIM,SOG,GWG,G,A,G,A,Hits,BS
Frank Vatrano,ANA,LW,0.16,0.16,0.32,-0.08,0.59,1.74,0.02,0.04,0.03,0.01,0.00,1.14,0.55
Dmitri Voronkov,CBJ,C,0.23,0.21,0.44,0.04,0.67,1.74,0.01,0.13,0.05,0.00,0.00,0.96,0.56
Nathan Walker,STL,C,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Zach Werenski,CBJ,D,0.23,0.58,0.81,0.14,0.25,3.18,0.04,0.05,0.26,0.02,0.06,0.27,1.71
Tom Willander,VAN,D,0.04,0.24,0.28,0.10,0.22,0.59,0.00,0.00,0.06,0.00,0.00,0.15,0.58
Ryan Winterton,SEA,C,0.07,0.14,0.21,-0.32,0.18,1.02,0.00,0.00,0.00,0.00,0.00,1.27,0.62
Miles Wood,CBJ,LW,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Shane Wright,SEA,C,0.26,0.37,0.62,0.03,0.19,1.48,0.03,0.08,0.08,0.00,0.00,0.63,0.85
Cam York,PHI,D,0.09,0.30,0.38,-0.10,0.41,1.04,0.01,0.01,0.06,0.00,0.00,0.63,1.73
Trevor Zegras,PHI,C,0.39,0.64,1.03,-0.09,0.74,2.49,0.06,0.14,0.20,0.00,0.00,0.67,0.42
Olen Zellweger,ANA,D,0.09,0.25,0.34,0.01,0.27,1.48,0.01,0.02,0.08,0.00,0.00,0.41,0.91
