PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,EVEN_STRENGTH,POWER_PLAY,GOALIE_STATUS,G,AST,SOG,BLK,W,SV,GA,SO,PPG,PPA,PTS,PPPTS,FPTS,FLOOR,CEIL,POWN,SDPARTNERID,RGID,HITS,UD,TOI,TEAM_ID,CORE_TEAM,CORE_ID,HOME,SDK,SFD,REFID
18978,"Mikko Rantanen",8000,W,FIN,TBD,,878041,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,0,,18978,0,0,,,,30679,1,1.15,1.15,81,0
16700,"Rasmus Ristolainen",3700,D,FIN,TBD,,741411,2,,,0.0478,0.1878,1.339,0,0,0,0,0,0,0,0.2356,0,3.4,0,9.44,0,,16700,1.593,3.17,16.6,,,31067,1,4.72,6.68,82,0.92
555945,"Niko Mikkola",3100,D,FIN,TBD,,878283,2,,,0.0452,0.1556,1.0159,0,0,0,0,0,0,0,0.2008,0,2.7,0,8.46,0,,555945,1.835,2.83,18.8,,,82506,1,4.5,6.33,83,0.87
35805,"Sebastian Aho",7200,C,FIN,TBD,,878154,2,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,0,,35805,0,0,,,,31384,1,1.15,1.15,84,0
35782,"Artturi Lehkonen",5500,W,FIN,TBD,,743064,2,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,0,,35782,0,0,,,,31453,1,1.15,1.15,85,0
17427,"Teuvo Teravainen",3000,W,FIN,TBD,,659863,2,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,0,,17427,0,0,,,,30644,1,1.15,1.15,86,0
16719,"Olli Maatta",2600,D,FIN,TBD,,659868,3,,,0.0174,0.1261,0.4912,0,0,0,0,0,0,0,0.1435,0,1.52,0,7.1,0,,16719,0.46,1.33,10.8,,,30432,1,4.36,6.22,87,0.58
2296000,"Anton Lundell",4500,C,FIN,TBD,,1248081,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,0,,2296000,1.102,0.55,17,,,158644,1,1.15,1.15,88,0
1283126,"Eetu Luostarinen",3400,W,FIN,TBD,,1057150,3,,,0.1509,0.2649,1.3763,0,0,0,0,0,0,0,0.4158,0,4.74,0,11.83,0,,1283126,1.914,4.3,14.9,,,91962,1,5.54,7.97,89,1.39
1144519,"Kaapo Kakko",3500,W,FIN,TBD,,1166551,3,,,0.1287,0.1832,1.1231,0,0,0,0,0,0,0,0.3119,0,3.73,0,10.3,0,,1144519,0.621,2.94,12,,,88355,1,5.13,7.3,90,1.07
